"id","help_text","code","field_type","description","parent_id/id","required","report_id/id"
"joppd-a_VI23","Zbroj stupca 12.2. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 0031-0039.","VI.2.3","decimalni iznos","Ukupan iznos doprinosa za mirovinsko osiguranje na temelju individualne kapitalizirane štednje po osnovi poduzetničke plaće","joppd-a_VI2","False","joppd-a"
"joppd-a_VI24","Zbroj stupca 12.2. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 5101-5103, 5201-5299, 5301, 5401-5403, 5608.","VI.2.4","decimalni iznos","Ukupan iznos doprinosa za mirovinsko osiguranje na temelju individualne kapitalizirane štednje za osiguranike za koje se doprinos uplaćuje prema posebnim propisima","joppd-a_VI2","False","joppd-a"
"joppd-a_VI25","Zbroj stupca 12.7. sa stranice B Obrasca JOPPD.","VI.2.5","decimalni iznos","Ukupan iznos dodatnog doprinosa za mirovinsko osiguranje na temelju individualne kapitalizirane štednje za staž osiguranja koji se raćuna s povećanim trajanjem","joppd-a_VI2","False","joppd-a"
"joppd-a_VI26","","VI.2.6","decimalni iznos","Ukupan iznos doprinosa za mirovinsko osiguranje na temelju individualne kapitalizirane štednje po osnovi obavljanja samostalne djelatnosti za osobe koje su same za sebe obvezne obračunati doprinose","joppd-a_VI2","False","joppd-a"
"joppd-a_VI3","","VI.3","view","DOPRINOS ZA ZDRAVSTVENO OSIGURANJE","joppd-a_VI","False","joppd-a"
"joppd-a_VI31","Zbroj stupca 12.7. sa stranice B Obrasca JOPPD.","VI.3.1","decimalni iznos","Ukupan iznos doprinosa za zdravstveno osiguranje po osnovi radnog odnosa","joppd-a_VI3","False","joppd-a"
"joppd-a_VI32","Zbroj stupca 12.4. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 0001, 0005, 0008, 0009, 0021-0029, 5701-5799.","VI.3.2","decimalni iznos","Ukupan iznos doprinosa za zaštitu zdravlja na radu po osnovi radnog odnosa","joppd-a_VI3","False","joppd-a"
"joppd-a_VI33","Zbroj stupca 12.4. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 0001, 0005, 0008, 0009, 0021-0029, 5701-5799.","VI.3.3","decimalni iznos","Ukupan iznos doprinosa za zdravstveno osiguranje po osnovi poduzetničke plaće","joppd-a_VI3","False","joppd-a"
"joppd-a_VI34","Zbroj stupca 12.3. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 0031-0039.","VI.3.4","decimalni iznos","Ukupan iznos doprinosa za zaštitu zdravlja na radu po osnovi poduzetničke plaće","joppd-a_VI3","False","joppd-a"
"joppd-a_VI35","Zbroj stupca 12.3. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 0201, 4002.","VI.3.5","decimalni iznos","Ukupan iznos doprinosa za zdravstveno osiguranje po osnovi drugog dohotka","joppd-a_VI3","False","joppd-a"
